('Barrie Youngfellow', '/wiki/Barrie_Youngfellow')
('Martha Scott', '/wiki/Martha_Scott')
('Joey King', '/wiki/Joey_King')
('Kay Panabaker', '/wiki/Kay_Panabaker')
('Rolonda Watts', '/wiki/Rolonda_Watts')
('Cheri Oteri', '/wiki/Cheri_Oteri')
('Sami Gayle', '/wiki/Sami_Gayle')
('Ann Harding', '/wiki/Ann_Harding')
('Maura Tierney', '/wiki/Maura_Tierney')
('Alice Greczyn', '/wiki/Alice_Greczyn')
('Afton Williamson', '/wiki/Afton_Williamson')
('Edie Adams', '/wiki/Edie_Adams')
('Jennifer Connelly', '/wiki/Jennifer_Connelly')
('Abigail Breslin', '/wiki/Abigail_Breslin')
('Amanda Seyfried', '/wiki/Amanda_Seyfried')
('Joan Allen', '/wiki/Joan_Allen')
('Melinda Dillon', '/wiki/Melinda_Dillon')
('Lecy Goranson', '/wiki/Lecy_Goranson')
('Dolores Moran', '/wiki/Dolores_Moran')
('Pamela Hensley', '/wiki/Pamela_Hensley')
('E. G. Daily', '/wiki/E._G._Daily')
('Faith Ford', '/wiki/Faith_Ford')
('Ellen Drew', '/wiki/Ellen_Drew')
('Cindy Williams', '/wiki/Cindy_Williams')
('Troian Bellisario', '/wiki/Troian_Bellisario')
('Nicole Leach', '/wiki/Nicole_Leach')
('Lisa Sheridan', '/wiki/Lisa_Sheridan')
('Olivia Wilde', '/wiki/Olivia_Wilde')
('Savannah Welch', '/wiki/Savannah_Welch')
('June Diane Raphael', '/wiki/June_Diane_Raphael')
('Rachel Dratch', '/wiki/Rachel_Dratch')
('Barbara Eden', '/wiki/Barbara_Eden')
('Rose McGowan', '/wiki/Rose_McGowan')
('Markie Post', '/wiki/Markie_Post')
('Rose Marie', '/wiki/Rose_Marie')
('Maiara Walsh', '/wiki/Maiara_Walsh')
('Tia Texada', '/wiki/Tia_Texada')
('Elizabeth Reaser', '/wiki/Elizabeth_Reaser')
('Paige Turco', '/wiki/Paige_Turco')
('Sela Ward', '/wiki/Sela_Ward')
('Natashia Williams', '/wiki/Natashia_Williams')
('Alia Shawkat', '/wiki/Alia_Shawkat')
('Michelle Trachtenberg', '/wiki/Michelle_Trachtenberg')
('Jean Stapleton', '/wiki/Jean_Stapleton')
('Tamara Mello', '/wiki/Tamara_Mello')
('Busy Philipps', '/wiki/Busy_Philipps')
('Jean Stuart', '/wiki/Jean_Stuart')
('Nancy Addison', '/wiki/Nancy_Addison')
('Gina Rodriguez', '/wiki/Gina_Rodriguez')
('Heather Graham', '/wiki/Heather_Graham')
('Marcia Gay Harden', '/wiki/Marcia_Gay_Harden')
('Alice Faye', '/wiki/Alice_Faye')
('Sierra McClain', '/wiki/Sierra_McClain')
('Swoosie Kurtz', '/wiki/Swoosie_Kurtz')
('Katherine Helmond', '/wiki/Katherine_Helmond')
('Jane Seymour (actress)', '/wiki/Jane_Seymour_(actress)')
('Ivana Miličević', '/wiki/Ivana_Mili%C4%8Devi%C4%87')
('Susan Anton', '/wiki/Susan_Anton')
('Maddie Corman', '/wiki/Maddie_Corman')
('Linda Kozlowski', '/wiki/Linda_Kozlowski')
('Mary Ann Mobley', '/wiki/Mary_Ann_Mobley')
('Hayden Panettiere', '/wiki/Hayden_Panettiere')
('Irma P. Hall', '/wiki/Irma_P._Hall')
('Bree Turner', '/wiki/Bree_Turner')
('Maria Thayer', '/wiki/Maria_Thayer')
('Madisen Beaty', '/wiki/Madisen_Beaty')
('Rebecca Hall', '/wiki/Rebecca_Hall')
('Peyton List (actress, born 1998)', '/wiki/Peyton_List_(actress,_born_1998)')
('Phyllis Kirk', '/wiki/Phyllis_Kirk')
('Lily Collins', '/wiki/Lily_Collins')
('Vicki Lawrence', '/wiki/Vicki_Lawrence')
('Judy Holliday', '/wiki/Judy_Holliday')
('Chloe Webb', '/wiki/Chloe_Webb')
('Jennifer Grey', '/wiki/Jennifer_Grey')
('Meredith Baxter', '/wiki/Meredith_Baxter')
('Morgan Fairchild', '/wiki/Morgan_Fairchild')
('Yara Shahidi', '/wiki/Yara_Shahidi')
('Hallie Eisenberg', '/wiki/Hallie_Eisenberg')
('Cindy Robinson', '/wiki/Cindy_Robinson')
('Loretta Young', '/wiki/Loretta_Young')
('Rowan Blanchard', '/wiki/Rowan_Blanchard')
('Miley Cyrus', '/wiki/Miley_Cyrus')
('Victoria Principal', '/wiki/Victoria_Principal')
('Alicia Witt', '/wiki/Alicia_Witt')
('Mae Whitman', '/wiki/Mae_Whitman')
('Portia Doubleday', '/wiki/Portia_Doubleday')
('Joan Leslie', '/wiki/Joan_Leslie')
('Samantha Boscarino', '/wiki/Samantha_Boscarino')
('Patricia Collinge', '/wiki/Patricia_Collinge')
('Leslie Parrish', '/wiki/Leslie_Parrish')
('Lola Albright', '/wiki/Lola_Albright')
('Kaitlin Doubleday', '/wiki/Kaitlin_Doubleday')
('Karen Duffy', '/wiki/Karen_Duffy')
('Alison Brie', '/wiki/Alison_Brie')
('Kate Mara', '/wiki/Kate_Mara')
('Edie McClurg', '/wiki/Edie_McClurg')
('Carole Cook', '/wiki/Carole_Cook')
('Celeste Yarnall', '/wiki/Celeste_Yarnall')
('Megan Follows', '/wiki/Megan_Follows')
('Shannon Woodward', '/wiki/Shannon_Woodward')
('Darla Hood', '/wiki/Darla_Hood')
('Deborah Van Valkenburgh', '/wiki/Deborah_Van_Valkenburgh')
('Nicole Ari Parker', '/wiki/Nicole_Ari_Parker')
('Shannon Whirry', '/wiki/Shannon_Whirry')
('Rebecca Wells', '/wiki/Rebecca_Wells')
('Claudia Jennings', '/wiki/Claudia_Jennings')
('Storm Reid', '/wiki/Storm_Reid')
('Calista Flockhart', '/wiki/Calista_Flockhart')
('Juliet Landau', '/wiki/Juliet_Landau')
('Julie Newmar', '/wiki/Julie_Newmar')
('Katherine Willis', '/wiki/Katherine_Willis')
('Amy Irving', '/wiki/Amy_Irving')
('Clare Kramer', '/wiki/Clare_Kramer')
('Olivia Olson', '/wiki/Olivia_Olson')
('Fannie Flagg', '/wiki/Fannie_Flagg')
('Claudette Colbert', '/wiki/Claudette_Colbert')
('Megan Dodds', '/wiki/Megan_Dodds')
('Bridget Regan', '/wiki/Bridget_Regan')
('Barbara Rush', '/wiki/Barbara_Rush')
('Peggy Lee', '/wiki/Peggy_Lee')
('Joyce DeWitt', '/wiki/Joyce_DeWitt')
('Britney Spears', '/wiki/Britney_Spears')
('Estelle Getty', '/wiki/Estelle_Getty')
('Sara Haden', '/wiki/Sara_Haden')
('Nikki Reed', '/wiki/Nikki_Reed')
('Lisa Edelstein', '/wiki/Lisa_Edelstein')
('Tallulah Bankhead', '/wiki/Tallulah_Bankhead')
('Leslie Uggams', '/wiki/Leslie_Uggams')
('Natalie Wood', '/wiki/Natalie_Wood')
('Dorothy Gish', '/wiki/Dorothy_Gish')
('Karle Warren', '/wiki/Karle_Warren')
('Brooke Shields', '/wiki/Brooke_Shields')
('Shelley Winters', '/wiki/Shelley_Winters')
('Drew Sidora', '/wiki/Drew_Sidora')
('Danneel Harris', '/wiki/Danneel_Harris')
('Kali Hawk', '/wiki/Kali_Hawk')
('Maureen McCormick', '/wiki/Maureen_McCormick')
('Constance Bennett', '/wiki/Constance_Bennett')
('Margaret Lindsay', '/wiki/Margaret_Lindsay')
('Lisa Bonet', '/wiki/Lisa_Bonet')
('Hattie McDaniel', '/wiki/Hattie_McDaniel')
('Thora Birch', '/wiki/Thora_Birch')
('Julie Piekarski', '/wiki/Julie_Piekarski')
('Martha Hyer', '/wiki/Martha_Hyer')
('Zulay Henao', '/wiki/Zulay_Henao')
('Lonette McKee', '/wiki/Lonette_McKee')
('Joyce Hyser', '/wiki/Joyce_Hyser')
('Alice Pearce', '/wiki/Alice_Pearce')
('Nana Bryant', '/wiki/Nana_Bryant')
('Elaine Hendrix', '/wiki/Elaine_Hendrix')
('Catherine Hicks', '/wiki/Catherine_Hicks')
('Catherine Bell (actress)', '/wiki/Catherine_Bell_(actress)')
('Zoe Saldana', '/wiki/Zoe_Saldana')
('Jill Scott', '/wiki/Jill_Scott')
('Marcia Cross', '/wiki/Marcia_Cross')
('Alice Drummond', '/wiki/Alice_Drummond')
('Gena Rowlands', '/wiki/Gena_Rowlands')
('Jean Louisa Kelly', '/wiki/Jean_Louisa_Kelly')
('Mädchen Amick', '/wiki/M%C3%A4dchen_Amick')
('Jessica Hecht', '/wiki/Jessica_Hecht')
('Yvonne Craig', '/wiki/Yvonne_Craig')
('Kaye Stevens', '/wiki/Kaye_Stevens')
('Marjorie Rambeau', '/wiki/Marjorie_Rambeau')
('Lauren Hutton', '/wiki/Lauren_Hutton')
('Tristin Mays', '/wiki/Tristin_Mays')
('Julianne Hough', '/wiki/Julianne_Hough')
('Jill Marie Jones', '/wiki/Jill_Marie_Jones')
('Wanda Sykes', '/wiki/Wanda_Sykes')
('Julie Bishop (actress)', '/wiki/Julie_Bishop_(actress)')
('Virginia Gardner', '/wiki/Virginia_Gardner')
('Kyra Sedgwick', '/wiki/Kyra_Sedgwick')
('Rebecca Gayheart', '/wiki/Rebecca_Gayheart')
('Cicely Tyson', '/wiki/Cicely_Tyson')
('Kim Wayans', '/wiki/Kim_Wayans')
('Kim Greist', '/wiki/Kim_Greist')
('Marin Hinkle', '/wiki/Marin_Hinkle')
('Jane Wyman', '/wiki/Jane_Wyman')
('Pat Carroll', '/wiki/Pat_Carroll')
('Mary-Louise Parker', '/wiki/Mary-Louise_Parker')
('Colleen Camp', '/wiki/Colleen_Camp')
('Linda Lavin', '/wiki/Linda_Lavin')
('Jane Randolph', '/wiki/Jane_Randolph')
('Cristina Raines', '/wiki/Cristina_Raines')
('Lois Nettleton', '/wiki/Lois_Nettleton')
('Jessica Tandy', '/wiki/Jessica_Tandy')
('Ann Cusack', '/wiki/Ann_Cusack')
('Donna Reed', '/wiki/Donna_Reed')
('Marcia Haufrecht', '/wiki/Marcia_Haufrecht')
('Kerry Washington', '/wiki/Kerry_Washington')
('Valerie Harper', '/wiki/Valerie_Harper')
('Haley Bennett', '/wiki/Haley_Bennett')
('Nia Peeples', '/wiki/Nia_Peeples')
('Frances Fisher', '/wiki/Frances_Fisher')
('Xosha Roquemore', '/wiki/Xosha_Roquemore')
('Stacy Haiduk', '/wiki/Stacy_Haiduk')
('Theresa Randle', '/wiki/Theresa_Randle')
('Jennifer Lopez', '/wiki/Jennifer_Lopez')
('Mia Farrow', '/wiki/Mia_Farrow')
('Ana Gasteyer', '/wiki/Ana_Gasteyer')
('Erin Cahill', '/wiki/Erin_Cahill')
('Cherry Jones', '/wiki/Cherry_Jones')
('Michele Lee', '/wiki/Michele_Lee')
('Rue McClanahan', '/wiki/Rue_McClanahan')
('Victoria Vetri', '/wiki/Victoria_Vetri')
('Kate Williamson', '/wiki/Kate_Williamson')
('Mary McCormack', '/wiki/Mary_McCormack')
('Milla Jovovich', '/wiki/Milla_Jovovich')
('Taylor Swift', '/wiki/Taylor_Swift')
('Jane Kean', '/wiki/Jane_Kean')
('Greer Garson', '/wiki/Greer_Garson')
("Jennifer O'Neill", '/wiki/Jennifer_O%27Neill')('Kristen Connolly', '/wiki/Kristen_Connolly')
('Ming-Na', '/wiki/Ming-Na')
('Bella Thorne', '/wiki/Bella_Thorne')
('Dakota Johnson', '/wiki/Dakota_Johnson')
('Courtney Ford', '/wiki/Courtney_Ford')
('Idalis DeLeón', '/wiki/Idalis_DeLe%C3%B3n')
('Staci Keanan', '/wiki/Staci_Keanan')
('Lea Thompson', '/wiki/Lea_Thompson')
('Angela Goethals', '/wiki/Angela_Goethals')
('Elisabeth Harnois', '/wiki/Elisabeth_Harnois')
('Bijou Phillips', '/wiki/Bijou_Phillips')
('Nichelle Nichols', '/wiki/Nichelle_Nichols')
('Kristy Swanson', '/wiki/Kristy_Swanson')
('Lisa Banes', '/wiki/Lisa_Banes')
('Peri Gilpin', '/wiki/Peri_Gilpin')
('Kelly Preston', '/wiki/Kelly_Preston')
('Sandra Seacat', '/wiki/Sandra_Seacat')
('Shannon Elizabeth', '/wiki/Shannon_Elizabeth')
('Betsy Blair', '/wiki/Betsy_Blair')
('Sabrina Carpenter', '/wiki/Sabrina_Carpenter')
('Rosemary Clooney', '/wiki/Rosemary_Clooney')
('Adrienne Barbeau', '/wiki/Adrienne_Barbeau')
('Lindsey Shaw', '/wiki/Lindsey_Shaw')
('Jennifer Taylor (actress)', '/wiki/Jennifer_Taylor_(actress)')
('Lea Michele', '/wiki/Lea_Michele')
('Caroline Aaron', '/wiki/Caroline_Aaron')
('Jamie Lynn Spears', '/wiki/Jamie_Lynn_Spears')
('Lisa Vidal', '/wiki/Lisa_Vidal')
('Diahann Carroll', '/wiki/Diahann_Carroll')
('Kathleen Turner', '/wiki/Kathleen_Turner')
('Susan Tyrrell', '/wiki/Susan_Tyrrell')
('Jill Whelan', '/wiki/Jill_Whelan')
('Winona Ryder', '/wiki/Winona_Ryder')
('Ashley Tisdale', '/wiki/Ashley_Tisdale')
('Troy Beyer', '/wiki/Troy_Beyer')
('Tina Turner', '/wiki/Tina_Turner')
('Grace Lee Whitney', '/wiki/Grace_Lee_Whitney')
('Mary J. Blige', '/wiki/Mary_J._Blige')
('Rena Sofer', '/wiki/Rena_Sofer')
('Angie Harmon', '/wiki/Angie_Harmon')
('Alyson Hannigan', '/wiki/Alyson_Hannigan')
('Georgia Engel', '/wiki/Georgia_Engel')
('Whitney Able', '/wiki/Whitney_Able')
('Sharon Stone', '/wiki/Sharon_Stone')
("Maureen O'Hara", '/wiki/Maureen_O%27Hara')('Peggy Feury', '/wiki/Peggy_Feury')
('LisaGay Hamilton', '/wiki/LisaGay_Hamilton')
('Bebe Neuwirth', '/wiki/Bebe_Neuwirth')
('Katherine Waterston', '/wiki/Katherine_Waterston')
('Sara Michael Foster', '/wiki/Sara_Michael_Foster')
('Deanna Russo', '/wiki/Deanna_Russo')
('Meghan Markle', '/wiki/Meghan_Markle')
('Bresha Webb', '/wiki/Bresha_Webb')
('Phyllis Davis', '/wiki/Phyllis_Davis')
('Pearl Bailey', '/wiki/Pearl_Bailey')
("Donna D'Errico", '/wiki/Donna_D%27Errico')('Mia Dillon', '/wiki/Mia_Dillon')
('Vera Miles', '/wiki/Vera_Miles')
('Olive Borden', '/wiki/Olive_Borden')
('Sarah Shahi', '/wiki/Sarah_Shahi')
('Charlene Holt', '/wiki/Charlene_Holt')
('Missi Pyle', '/wiki/Missi_Pyle')
('Kyla Pratt', '/wiki/Kyla_Pratt')
('Sarah Roemer', '/wiki/Sarah_Roemer')
('Kaye Ballard', '/wiki/Kaye_Ballard')
('Shawn Weatherly', '/wiki/Shawn_Weatherly')
('Linda Hunt', '/wiki/Linda_Hunt')
('Christa B. Allen', '/wiki/Christa_B._Allen')
('Nancy McKeon', '/wiki/Nancy_McKeon')
('Irene Cara', '/wiki/Irene_Cara')
('Tia Carrere', '/wiki/Tia_Carrere')
('Alicia Rhett', '/wiki/Alicia_Rhett')
('Jan Smithers', '/wiki/Jan_Smithers')
('Kathleen Freeman', '/wiki/Kathleen_Freeman')
('Melinda Page Hamilton', '/wiki/Melinda_Page_Hamilton')
('Shantel VanSanten', '/wiki/Shantel_VanSanten')
('Mary Elizabeth Winstead', '/wiki/Mary_Elizabeth_Winstead')
('Ever Carradine', '/wiki/Ever_Carradine')
('Cameron Richardson', '/wiki/Cameron_Richardson')
('Debi Mazar', '/wiki/Debi_Mazar')
('Kathryn Kates', '/wiki/Kathryn_Kates')
('Natasha Richardson', '/wiki/Natasha_Richardson')
('Ellen Burstyn', '/wiki/Ellen_Burstyn')
('Peggy Cass', '/wiki/Peggy_Cass')
('Gale Storm', '/wiki/Gale_Storm')
('Sharon Tate', '/wiki/Sharon_Tate')
('Lana Parrilla', '/wiki/Lana_Parrilla')
('Park Overall', '/wiki/Park_Overall')
('Kathryn Walker', '/wiki/Kathryn_Walker')
('Peyton List (actress, born 1986)', '/wiki/Peyton_List_(actress,_born_1986)')
('Jane Elliot', '/wiki/Jane_Elliot')
('Maggie McNamara', '/wiki/Maggie_McNamara')
('Elizabeth Allen (actress)', '/wiki/Elizabeth_Allen_(actress)')
('Jennifer Morrison', '/wiki/Jennifer_Morrison')
('Alexa Vega', '/wiki/Alexa_Vega')
('Jes Macallan', '/wiki/Jes_Macallan')
('Samira Wiley', '/wiki/Samira_Wiley')
('Katelyn Tarver', '/wiki/Katelyn_Tarver')
('Nancy Kovack', '/wiki/Nancy_Kovack')
('Della Reese', '/wiki/Della_Reese')
('Rita Gam', '/wiki/Rita_Gam')
('June Squibb', '/wiki/June_Squibb')
('Debra Winger', '/wiki/Debra_Winger')
('Mary Philbin', '/wiki/Mary_Philbin')
('Pat Crawford Brown', '/wiki/Pat_Crawford_Brown')
('Elisabeth Röhm', '/wiki/Elisabeth_R%C3%B6hm')
('Fay Bainter', '/wiki/Fay_Bainter')
('Diane Lane', '/wiki/Diane_Lane')
('Michelle Phillips', '/wiki/Michelle_Phillips')
('Celeste Holm', '/wiki/Celeste_Holm')
('Sean Young', '/wiki/Sean_Young')
('Yvette Nicole Brown', '/wiki/Yvette_Nicole_Brown')
('Karen Malina White', '/wiki/Karen_Malina_White')
('Retta', '/wiki/Retta')
('Dorothy Jordan (American actress)', '/wiki/Dorothy_Jordan_(American_actress)')
('Cindy Valentine', '/wiki/Cindy_Valentine')
('Quvenzhané Wallis', '/wiki/Quvenzhan%C3%A9_Wallis')
('Carol Burnett', '/wiki/Carol_Burnett')
('Haley Hudson', '/wiki/Haley_Hudson')
('Jeannine Riley', '/wiki/Jeannine_Riley')
('Sylvia Sidney', '/wiki/Sylvia_Sidney')
('Jean Smart', '/wiki/Jean_Smart')
('Alexandra Paul', '/wiki/Alexandra_Paul')
('Christine Ebersole', '/wiki/Christine_Ebersole')
('Olesya Rulin', '/wiki/Olesya_Rulin')
('Marcia Wallace', '/wiki/Marcia_Wallace')
('Eileen Ryan', '/wiki/Eileen_Ryan')
("Beverly D'Angelo", '/wiki/Beverly_D%27Angelo')('Madison Pettis', '/wiki/Madison_Pettis')
('Karen Grassle', '/wiki/Karen_Grassle')
('Lauren Bacall', '/wiki/Lauren_Bacall')
('Lisa Kudrow', '/wiki/Lisa_Kudrow')
('Stockard Channing', '/wiki/Stockard_Channing')
('Erin Moran', '/wiki/Erin_Moran')
('Diane Franklin', '/wiki/Diane_Franklin')
('Cheryl Hines', '/wiki/Cheryl_Hines')
('Heather Dubrow', '/wiki/Heather_Dubrow')
('Daniella Alonso', '/wiki/Daniella_Alonso')
('Zoë Wanamaker', '/wiki/Zo%C3%AB_Wanamaker')
('Debbie Gibson', '/wiki/Debbie_Gibson')
('Courteney Cox', '/wiki/Courteney_Cox')
('Nichole Hiltz', '/wiki/Nichole_Hiltz')
('Annette Funicello', '/wiki/Annette_Funicello')
('Lois Hamilton', '/wiki/Lois_Hamilton')
('Mitzi McCall', '/wiki/Mitzi_McCall')
('Hayley Kiyoko', '/wiki/Hayley_Kiyoko')
('Claire Trevor', '/wiki/Claire_Trevor')
('Vanessa Estelle Williams', '/wiki/Vanessa_Estelle_Williams')
('Connie Britton', '/wiki/Connie_Britton')
('Bea Arthur', '/wiki/Bea_Arthur')
('Nancy Allen (actress)', '/wiki/Nancy_Allen_(actress)')
('Vanessa Williams', '/wiki/Vanessa_Williams')
('Anne Schedeen', '/wiki/Anne_Schedeen')
('Vera Farmiga', '/wiki/Vera_Farmiga')
('Lynn-Holly Johnson', '/wiki/Lynn-Holly_Johnson')
('Lee Remick', '/wiki/Lee_Remick')
('Lauren Tom', '/wiki/Lauren_Tom')
('Elizabeth Gillies', '/wiki/Elizabeth_Gillies')
('Holland Roden', '/wiki/Holland_Roden')
('Abby Walker', '/wiki/Abby_Walker')
('Angela Bettis', '/wiki/Angela_Bettis')
('Amy Davidson', '/wiki/Amy_Davidson')
('Deborah Foreman', '/wiki/Deborah_Foreman')
('Annie Parisse', '/wiki/Annie_Parisse')
('Cierra Ramirez', '/wiki/Cierra_Ramirez')
('Takayo Fischer', '/wiki/Takayo_Fischer')
('Gina Philips', '/wiki/Gina_Philips')
('Louise Beavers', '/wiki/Louise_Beavers')
('Julia Roberts', '/wiki/Julia_Roberts')
('Katrina Bowden', '/wiki/Katrina_Bowden')
('Erika Alexander', '/wiki/Erika_Alexander')
('Kaley Cuoco', '/wiki/Kaley_Cuoco')
('Jamie Luner', '/wiki/Jamie_Luner')
('Nicki Aycox', '/wiki/Nicki_Aycox')
('Roseanne Barr', '/wiki/Roseanne_Barr')
('Shailene Woodley', '/wiki/Shailene_Woodley')
('Lynda Day George', '/wiki/Lynda_Day_George')
('Bonnie Franklin', '/wiki/Bonnie_Franklin')
('Julia Stiles', '/wiki/Julia_Stiles')
('Eleanor Boardman', '/wiki/Eleanor_Boardman')
('Téa Leoni', '/wiki/T%C3%A9a_Leoni')
("N'Bushe Wright", '/wiki/N%27Bushe_Wright')('Olivia de Havilland', '/wiki/Olivia_de_Havilland')
('Collette Wolfe', '/wiki/Collette_Wolfe')
('Mitzi Gaynor', '/wiki/Mitzi_Gaynor')
('Marianna Hill', '/wiki/Marianna_Hill')
('Allie DeBerry', '/wiki/Allie_DeBerry')
('Paula Patton', '/wiki/Paula_Patton')
('Audrey Totter', '/wiki/Audrey_Totter')
('Sara Paxton', '/wiki/Sara_Paxton')
('Jean Harlow', '/wiki/Jean_Harlow')
('Loretta Swit', '/wiki/Loretta_Swit')
('Amy Yasbeck', '/wiki/Amy_Yasbeck')
('Esther Rolle', '/wiki/Esther_Rolle')
('Jenna Ushkowitz', '/wiki/Jenna_Ushkowitz')
('Betty Grable', '/wiki/Betty_Grable')
('Gia Mantegna', '/wiki/Gia_Mantegna')
('Anjanette Comer', '/wiki/Anjanette_Comer')
('Natalia Dyer', '/wiki/Natalia_Dyer')
('Kate Walsh (actress)', '/wiki/Kate_Walsh_(actress)')
('Cynthia Gibb', '/wiki/Cynthia_Gibb')
('Christa Miller', '/wiki/Christa_Miller')
('Lisa Whelchel', '/wiki/Lisa_Whelchel')
('Nicki Minaj', '/wiki/Nicki_Minaj')
('Sally Kellerman', '/wiki/Sally_Kellerman')
("Brittany O'Grady", '/wiki/Brittany_O%27Grady')('Julie White', '/wiki/Julie_White')
('Juliette Lewis', '/wiki/Juliette_Lewis')
('Sheree J. Wilson', '/wiki/Sheree_J._Wilson')
('Gayle Hunnicutt', '/wiki/Gayle_Hunnicutt')
('Kathryn Grayson', '/wiki/Kathryn_Grayson')
('Summer Bishil', '/wiki/Summer_Bishil')
('Emily Blunt', '/wiki/Emily_Blunt')
('Portia de Rossi', '/wiki/Portia_de_Rossi')
('Nina Mae McKinney', '/wiki/Nina_Mae_McKinney')
('Courtney Thorne-Smith', '/wiki/Courtney_Thorne-Smith')
('Ann Sheridan', '/wiki/Ann_Sheridan')
('Ann Blyth', '/wiki/Ann_Blyth')
('Lindsay Frost', '/wiki/Lindsay_Frost')
('Veronica Hamel', '/wiki/Veronica_Hamel')
('Jordin Sparks', '/wiki/Jordin_Sparks')
('Alexis Dziena', '/wiki/Alexis_Dziena')
('Carol Kane', '/wiki/Carol_Kane')
('Mary Alice', '/wiki/Mary_Alice')
('Donna Dixon', '/wiki/Donna_Dixon')
('Susan Walters', '/wiki/Susan_Walters')
('Illeana Douglas', '/wiki/Illeana_Douglas')
('Victoria Dillard', '/wiki/Victoria_Dillard')
('Mariette Hartley', '/wiki/Mariette_Hartley')
('Terry Moore (actress)', '/wiki/Terry_Moore_(actress)')
('Amanda Detmer', '/wiki/Amanda_Detmer')
('Mary Wickes', '/wiki/Mary_Wickes')
("Jodi Lyn O'Keefe", '/wiki/Jodi_Lyn_O%27Keefe')('Lee Meriwether', '/wiki/Lee_Meriwether')
('Betty White', '/wiki/Betty_White')
('Brie Larson', '/wiki/Brie_Larson')
('Jessica Walter', '/wiki/Jessica_Walter')
('Tamera Mowry', '/wiki/Tamera_Mowry')
('Diana Muldaur', '/wiki/Diana_Muldaur')
('Amanda Peterson', '/wiki/Amanda_Peterson')
('Carrie Underwood', '/wiki/Carrie_Underwood')
('Emma Fuhrmann', '/wiki/Emma_Fuhrmann')
('Ari Graynor', '/wiki/Ari_Graynor')
('Erica Mendez', '/wiki/Erica_Mendez')
('Elizabeth Mitchell', '/wiki/Elizabeth_Mitchell')
('Brooke Smith (actress)', '/wiki/Brooke_Smith_(actress)')
('Ronee Blakley', '/wiki/Ronee_Blakley')
('Kelly Jo Minter', '/wiki/Kelly_Jo_Minter')
('Anne Seymour (actress)', '/wiki/Anne_Seymour_(actress)')
('Monica Rial', '/wiki/Monica_Rial')
('Amanda Bynes', '/wiki/Amanda_Bynes')
('Kristanna Loken', '/wiki/Kristanna_Loken')
('Bridget Moynahan', '/wiki/Bridget_Moynahan')
('Carrie Coon', '/wiki/Carrie_Coon')
('Gina Torres', '/wiki/Gina_Torres')
('Cathy Lee Crosby', '/wiki/Cathy_Lee_Crosby')
('Adrianne Palicki', '/wiki/Adrianne_Palicki')
('Alaina Reed Hall', '/wiki/Alaina_Reed_Hall')
('Dana Barron', '/wiki/Dana_Barron')
('Eva LaRue', '/wiki/Eva_LaRue')
('Carole Landis', '/wiki/Carole_Landis')
('Jessica Bowman', '/wiki/Jessica_Bowman')
('Andie MacDowell', '/wiki/Andie_MacDowell')
('Lainie Kazan', '/wiki/Lainie_Kazan')
('Abby Dalton', '/wiki/Abby_Dalton')
('Aimee Teegarden', '/wiki/Aimee_Teegarden')
('Katherine Bailess', '/wiki/Katherine_Bailess')
('Marion Byron', '/wiki/Marion_Byron')
('Maggie Q', '/wiki/Maggie_Q')
('Jessica Chastain', '/wiki/Jessica_Chastain')
('Mira Sorvino', '/wiki/Mira_Sorvino')
('Anne Hathaway', '/wiki/Anne_Hathaway')
('Candice Accola', '/wiki/Candice_Accola')
('Sophia Lillis', '/wiki/Sophia_Lillis')
('Daryl Hannah', '/wiki/Daryl_Hannah')
('Lara Parker', '/wiki/Lara_Parker')
('AnnaLynne McCord', '/wiki/AnnaLynne_McCord')
('Lin Shaye', '/wiki/Lin_Shaye')
('Glenda Farrell', '/wiki/Glenda_Farrell')
('Idina Menzel', '/wiki/Idina_Menzel')
('Rosie Perez', '/wiki/Rosie_Perez')
('Victoria Justice', '/wiki/Victoria_Justice')
('Jennifer Tilly', '/wiki/Jennifer_Tilly')
('Lindsay Bloom', '/wiki/Lindsay_Bloom')
('Sherilyn Fenn', '/wiki/Sherilyn_Fenn')
('Wynn Everett', '/wiki/Wynn_Everett')
('Marley Shelton', '/wiki/Marley_Shelton')
('Christina Ricci', '/wiki/Christina_Ricci')
('Paula Marshall', '/wiki/Paula_Marshall')
('Lillian Roth', '/wiki/Lillian_Roth')
('Jillian Murray', '/wiki/Jillian_Murray')
('Laura Dern', '/wiki/Laura_Dern')
('Katherine Moennig', '/wiki/Katherine_Moennig')
('Rita Johnson', '/wiki/Rita_Johnson')
('Katie Leigh', '/wiki/Katie_Leigh')
('Peggy Walton-Walker', '/wiki/Peggy_Walton-Walker')
('Jane Sibbett', '/wiki/Jane_Sibbett')
('Ruth Roman', '/wiki/Ruth_Roman')
('Shanley Caswell', '/wiki/Shanley_Caswell')
('Daria Halprin', '/wiki/Daria_Halprin')
('Audrey Quock', '/wiki/Audrey_Quock')
('Vonetta McGee', '/wiki/Vonetta_McGee')
('Lynda Carter', '/wiki/Lynda_Carter')
('Dina Meyer', '/wiki/Dina_Meyer')
('Sigrid Valdis', '/wiki/Sigrid_Valdis')
('Mary Louise Wilson', '/wiki/Mary_Louise_Wilson')
('Sabrina Lloyd', '/wiki/Sabrina_Lloyd')
('Gabrielle Carteris', '/wiki/Gabrielle_Carteris')
('Ashley Greene', '/wiki/Ashley_Greene')
('Melissa Claire Egan', '/wiki/Melissa_Claire_Egan')
